Datum,Super,E10,Diesel
Kategorie (Datum: 2022-07-14 21:24:32,Super,E10,Diesel
"Guenstigster Preis:,""1,760"",""1,700"",""1,890"""
"Teuerster Preis:,""1,860"",""1,800"",""2,010"""
"Durchschnittspreis:,""1,845"",""1,784"",""1,960"""
Kategorie (Datum: 2022-07-14 22:22:41,Super,E10,Diesel
"Guenstigster Preis:,""1,760"",""1,700"",""1,890"""
"Teuerster Preis:,""1,860"",""1,800"",""2,010"""
"Durchschnittspreis:,""1,842"",""1,782"",""1,960"""
Kategorie (Datum: 2022-07-15 05:43:22,Super,E10,Diesel
"Guenstigster Preis:,""1,820"",""1,800"",""1,940"""
"Teuerster Preis:,""1,980"",""1,920"",""2,090"""
"Durchschnittspreis:,""1,948"",""1,890"",""2,065"""
Kategorie (Datum: 2022-07-15 08:53:21,Super,E10,Diesel
"Guenstigster Preis:,""1,782"",""1,722"",""1,942"""
"Teuerster Preis:,""1,892"",""1,832"",""2,032"""
"Durchschnittspreis:,""1,837"",""1,779"",""1,990"""
Kategorie (Datum: 2022-07-15 09:15:54,Super,E10,Diesel
"Guenstigster Preis:,""1,772"",""1,712"",""1,942"""
"Teuerster Preis:,""1,852"",""1,802"",""1,992"""
"Durchschnittspreis:,""1,817"",""1,759"",""1,976"""
Kategorie (Datum: 2022-07-15 10:15:56,Super,E10,Diesel
"Guenstigster Preis:,""1,762"",""1,702"",""1,882"""
"Teuerster Preis:,""1,872"",""1,812"",""2,032"""
"Durchschnittspreis:,""1,811"",""1,753"",""1,966"""
Kategorie (Datum: 2022-07-15 11:15:58,Super,E10,Diesel
"Guenstigster Preis:,""1,742"",""1,682"",""1,882"""
"Teuerster Preis:,""1,862"",""1,802"",""2,032"""
"Durchschnittspreis:,""1,818"",""1,760"",""1,960"""
Kategorie (Datum: 2022-07-15 12:16:01,Super,E10,Diesel
"Guenstigster Preis:,""1,742"",""1,682"",""1,882"""
"Teuerster Preis:,""1,802"",""1,742"",""1,952"""
"Durchschnittspreis:,""1,766"",""1,709"",""1,912"""
Kategorie (Datum: 2022-07-15 13:16:03,Super,E10,Diesel
"Guenstigster Preis:,""1,742"",""1,682"",""1,842"""
"Teuerster Preis:,""1,812"",""1,752"",""1,962"""
"Durchschnittspreis:,""1,771"",""1,714"",""1,908"""
Kategorie (Datum: 2022-07-15 14:16:05,Super,E10,Diesel
"Guenstigster Preis:,""1,742"",""1,682"",""1,842"""
"Teuerster Preis:,""1,812"",""1,752"",""1,942"""
"Durchschnittspreis:,""1,780"",""1,722"",""1,895"""
Kategorie (Datum: 2022-07-15 15:16:07,Super,E10,Diesel
"Guenstigster Preis:,""1,742"",""1,682"",""1,842"""
"Teuerster Preis:,""1,792"",""1,742"",""1,942"""
"Durchschnittspreis:,""1,769"",""1,712"",""1,879"""
Kategorie (Datum: 2022-07-15 16:16:10,Super,E10,Diesel
"Guenstigster Preis:,""1,742"",""1,682"",""1,852"""
"Teuerster Preis:,""1,782"",""1,742"",""1,912"""
"Durchschnittspreis:,""1,769"",""1,712"",""1,878"""
Kategorie (Datum: 2022-07-16 08:09:32,Super,E10,Diesel
"Guenstigster Preis:,""1,732"",""1,672"",""1,862"""
"Teuerster Preis:,""1,942"",""1,882"",""2,062"""
"Durchschnittspreis:,""1,821"",""1,763"",""1,941"""
Kategorie (Datum: 2022-07-16 09:09:34,Super,E10,Diesel
"Guenstigster Preis:,""1,732"",""1,672"",""1,862"""
"Teuerster Preis:,""1,822"",""1,762"",""1,942"""
"Durchschnittspreis:,""1,783"",""1,726"",""1,902"""
Kategorie (Datum: 2022-07-16 10:09:36,Super,E10,Diesel
"Guenstigster Preis:,""1,732"",""1,672"",""1,862"""
"Teuerster Preis:,""1,842"",""1,782"",""1,952"""
"Durchschnittspreis:,""1,779"",""1,721"",""1,903"""
Kategorie (Datum: 2022-07-16 11:09:39,Super,E10,Diesel
"Guenstigster Preis:,""1,732"",""1,672"",""1,862"""
"Teuerster Preis:,""1,822"",""1,762"",""1,952"""
"Durchschnittspreis:,""1,798"",""1,740"",""1,935"""
Kategorie (Datum: 2022-07-16 12:09:41,Super,E10,Diesel
"Guenstigster Preis:,""1,732"",""1,672"",""1,862"""
